갓,3
가다랑이포,2
가래떡,5
가리비,2
가쓰오브시,6
가쓰오브시국물,7
가재새우,2
가지,3
간수,7
간장,6
갈비,2
갈치,2
감동젓,2
감자,5
감자전분,5
갑오징어,2
강력분,5
건블루베리,4
건새우가루,6
건포도,4
검은깨,5
게,2
게맛살,2
게살,2
겨자,6
겨자가루,6
겨자잎,3
견과류,5
계란,1
계핏가루,6
고구마,5
고구마잎,3
고구마줄기,3
고기산적,1
고들빼기,3
고등어,2
고사리,3
고사리나물,3
고수잎,3
고추,3
고추냉이,6
고추장,6
고춧가루,6
고춧기름,6
곤약,5
골뱅이,2
골뱅이통조림,2
곱창,1
곶감,4
과일통조림,7
광어,2
구운김,2
국간장,6
국물용멸치,2
국선생,6
국수,5
굴,2
굴소스,6
굵은고춧가루,6
굵은소금,6
그라나빠다노,7
근대,3
김,2
기름,6
김밥용김,3
김치,3
김칫국물,7
까나리액젓,6
깐밤,3
깨,5
깨소금,6
깨소스,6
깻잎,3
껍질콩,5
꼬치,7
꼴뚜기,2
꽁치,2
꽁치통조림,7
꽃게,2
꽃빵,5
꽃상추,3
꽃소금,6
꽈리고추,3
꿀,6
낙지,2
낙지다리,2
날치알,2
날콩가루,6
냉동만두,7
냉면,5
냉이,3
넛맥,6
노각,3
녹두,5
녹말,5
녹말가루,5
녹말물,7
녹차국수,5
녹차분말,6
누룽지,5
느타리버섯,3
다시마,6
다시마국물,7
다시물,7
다진돼지고기,1
다진쇠고기,1
단무지,3
단호박,3
달래,3
닭,1
닭가슴살,1
닭고기,1
닭다리,1
닭발,1
닭봉,1
닭살,1
닭안심,1
닭육수,7
당근,3
당근잎,3
당근즙,3
당근채,3
당면,5
대구,2
대추,3
대파,3
대하,2
더덕,3
도가니,1
도라지,3
도라지나물,3
도미,2
도토리묵,5
돈까스소스,6
동치미국물,7
동치미무,3
동태,2
동태살,2
돛나물,3
돼지갈비,1
돼지고기,1
돼지고기안심,1
돼지등갈비,1
돼지볼살,1
된장,6
두릅,3
두반장,6
두부,5
둥근호박,3
드라이이스트,5
들기름,6
들깨,5
들깻가루,6
들깻잎,3
딸기,4
땅콩,5
땅콩가루,6
땅콩버터,6
떡,5
떡국떡,5
라면,5
라이스페이퍼,5
라임,6
랩,7
레드와인,7
레몬,4
레몬드레싱,6
레몬주스,4
레몬즙,4
로즈마리,6
루콜라,3
마늘,3
마늘쫑,3
마른고추,3
마른새우,2
마른오징어,2
마요네즈,6
만두피,5
말린새우,2
말린표고버섯,3
맛간장,6
맛국물,6
맛살,2
맛선생,6
맛소금,6
맛술,7
맛조개,2
매실액,6
매실장아찌,3
매화어묵,2
머스터드,6
메기,2
메밀국수,5
메주,6
메주콩,5
멥쌀,5
멥쌀가루,5
멸치,2
멸치액젓,6
멸치젓,6
멸칫국물,7
명란,2
명란젓,2
모닝빵,5
모듬채소,3
모시조개,2
모짜렐라치즈,7
목이버섯,3
무,3
물,7
무래디쉬,3
무말랭이,3
무명실,7
무순,3
무즙,3
무지개고추,3
무채,3
문어,2
물엿,6
미나리,3
미니새송이버섯,3
미더덕,2
미림,6
미소된장,6
미역,2
미원,6
민트,6
밀가루,5
밀국수,5
바게트,5
바나나,4
바베큐소스,6
바질,6
밤,3
밥,5
바지락,2
박고지,3
발효초,6
방울토마토,3
배,4
배,4
배즙,4
배추,3
배추김치,3
백오이,3
버섯,3
버터,6
베이컨,1
보리,5
볶은흑임자,5
봄동,3
부추,3
부침가루,5
북어,2
붉은갓,3
브로콜리,3
비엔나소시지,1
비트,3
빵가루,5
사골,1
사과,4
사과즙,4
사라다나,3
사우어크라우트,3
사워크림,6
사이다,7
삭힌고추,3
산초가루,6
삶은문어,2
상추,3
새송이버섯,3
새싹채소,3
새우,2
새우살,2
새우젓,6
새우젓국,6
샐러드오일,6
샐러드채소,3
샐러리,3
생강,3
생강즙,3
생굴,2
생밤,3
생새우,2
생선살,2
생크림,7
생태,2
서리태콩,5
석이버섯,3
선지,1
설탕,6
소금,6
소꼬리,1
소면,5
소스,6
소잡뼈,1
솔잎,3
송어,2
송이버섯,3
쇠고기,1
쇠고기육수,7
쇠꼬리,1
쇠뼈,1
숙주나물,3
순대,7
순두부,5
순창콩된장,6
술,7
수삼,3
수수,5
숙주,3
숯,7
슈가파우더,6
슈레드치즈,7
스위트마조람,6
스위트콘,7
스파게티,5
슬라이스치즈,7
슬라이스햄,1
시금치,3
시금치나물,3
시금치즙,3
시래기,3
시럽,6
시판용장국,7
식빵,5
식용유,6
식초,6
신김치,3
실고추,3
실파,3
쌀,5
싸리버섯,3
쌀가루,5
쌀국수,5
쌀뜨물,7
쌈다시마,2
쌈장,7
쑥,3
쑥갓,3
아가용치즈,7
아귀,2
아기된장소스,6
아몬드,5
아몬드가루,5
아보카도,3
아스파라거스,3
아욱,3
안심,1
애호박,3
액젓,6
액체육젓,6
양,1
양겨자,6
양념,6
양념간장,6
양념장,6
양배추,3
양상추,3
양송이버섯,3
양지머리,1
양파,3
양파즙,3
어린잎채소,3
어묵,2
어장,6
얼갈이배추,3
얼음,7
얼음물,7
에멘탈치즈가루,7
연겨자,6
연근,3
연어,2
연어살,2
연어알,2
열무,3
열무김치,3
엿기름,6
영양부추,3
오곡곡물,5
오레가노,6
오렌지,4
오렌지마멀레이드,4
오렌지마요네즈,6
오보로,6
오이,3
오이피클,3
오징어,2
오징어채,2
옥수수,5
옥수수통조림,7
올리브,6
올리브오일,6
올리브유,6
와사비,6
와사비소스,6
완두콩,3
완두콩통조림,7
왜된장,6
요리술,7
우거지,3
우동면,5
우무,2
우묵,2
우스터소스,6
우엉,3
우유,7
월계수잎,6
유부,5
육수,7
육회,1
은박컵,7
은행,3
이스트,5
이태리고추,3
인삼,3
인절미,5
잉어,2
잔새우,2
잣,5
자몽,4
잔멸치,2
잣가루,5
장어,2
장어대리,6
장어뼈,2
장조림,1
재첩,2
적양배추,3
적채,3
전복,2
전분,5
전어,2
전어젓갈,2
절인배추,3
절임무,3
젓국,6
정종,7
정향,6
조,5
조갯살,2
조기,2
조림간장,6
조미료,6
조미술,7
조청,6
죽순,3
중국부추,3
중새우,2
진간장,6
진밥,5
쪽파,3
쪽파,3
쫄면,5
쭈꾸미,2
차이브,3
차조,5
참기름,6
참깨,5
참나물,3
참소라살,2
참치,2
참치캔,7
찹쌀,5
찹쌀가루,5
채소,3
청경채,3
청국장,6
청동호박,3
청양고추,3
청어알,2
청장,6
청주,7
청포묵,5
체리,4
초고추장,6
초밥,5
초콜릿,7
총각무,3
춘권피,5
취나물,3
치자,6
치즈,7
치즈가루,7
치커리,3
칠리,6
카레,7
카레가루,6
칵테일새우,2
칼국수,5
컬리플라워,3
케이퍼,6
케일,3
코다리,2
콘플레이크,5
콩,5
콩가루,5
콩나물,3
콩비지,5
크림수프,5
크림치즈,7
키위,4
타바스코,6
타임,6
탄산수,7
토란,3
토란탕,5
토마토,3
토마토소스,6
토마토케첩,6
토마토페이스트,6
통계피,6
통도라지,3
통북어,2
통후추,6
튀김가루,5
트레비스,3
파,3
팔각,6
팥,5
파래,2
파마산치즈,7
파뿌리,3
파스타,5
파슬리,3
파슬리가루,6
파인애플,4
파프리카,3
팥삶은물,7
팽이버섯,3
페스토소스,6
페투치네,5
포도,4
포도씨유,6
폰즈소스,6
표고버섯,3
프랑크소시지,1
플레인요구르트,7
피망,3
피쉬소스,6
피자치즈,7
피조개,2
피클,3
핫소스,6
해파리,2
햄,1
해삼,2
해초,2
허브솔트,6
호두,5
호박,3
호박씨,5
호박잎,3
홀토마토,3
홍고추,3
홍차티백,7
홍피망,3
홍합,2
화이트와인,7
황설탕,6
후루츠칵테일,7
후추,6
후춧가루,6
훈제연어,2
흑미,5
흑설탕,6
흑임자,5
흰떡,5
흰살생선,2
흰설탕,6
흰콩,5
흰후추,6
흰후춧가루,6
